Interaction_Name,DV,N_Obs_Model,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper
MO1_x_SP5_on_DV21,dv21_premature_death_ypll_rate,3079,823.2036934997303,0.0935382314977185,-138.8885420709529,1785.2959290704134
IV3_x_MO1_x_SP5_on_DV21,dv21_premature_death_ypll_rate,3079,75.23530919805691,0.14046042984731483,-24.799042069552755,175.26966046566656
MO2_x_SP5_on_DV21,dv21_premature_death_ypll_rate,3079,622.2188235203965,0.00021736188180695654,292.4328736914972,952.0047733492959
