Family,Decile,SP5_min,SP5_max,SP5_median,N,Beta,P_Value,CI_Lower,CI_Upper,SE,Q_Value_BH
F1_MO1_on_DV21,1,0.11999999731779099,0.3799999952316284,0.3199999928474426,357,-118.01397951047342,0.00992599468583112,-207.72210761545978,-28.305851405487047,45.770294154684805,0.049629973429155594
F1_MO1_on_DV21,2,0.38999998569488525,0.4300000071525574,0.4099999964237213,282,-43.42897954103171,0.35591122593711066,-135.63077048860083,48.7728114065374,47.0425944940035,0.44488903242138833
F1_MO1_on_DV21,3,0.4399999976158142,0.4699999988079071,0.46000000834465027,406,-67.2461988701491,0.0971987414899361,-146.7114358475713,12.219038107273079,40.54423326358741,0.24299685372484023
F1_MO1_on_DV21,4,0.47999998927116394,0.49000000953674316,0.47999998927116394,368,122.20883828210924,0.2248434536791457,-75.13414850756709,319.5518250717856,100.68704748979708,0.37473908946524287
F1_MO1_on_DV21,5,0.5,0.5,0.5,208,138.65791645787652,0.4644104719186436,-232.80618615357184,510.1220190693249,189.52598391680144,0.5160116354651595
F1_MO1_on_DV21,6,0.5099999904632568,0.5199999809265137,0.5099999904632568,387,-98.80616047369043,0.21932950525744743,-256.46672520111343,58.85440425373258,80.44054175027166,0.37473908946524287
F1_MO1_on_DV21,7,0.5299999713897705,0.5299999713897705,0.5299999713897705,204,-407.5044410417114,0.002394368192839453,-670.5459039926129,-144.46297809080983,134.20729412669778,0.02394368192839453
F1_MO1_on_DV21,8,0.5400000214576721,0.550000011920929,0.5400000214576721,288,-220.90223805521063,0.03063964961512218,-421.18725685356156,-20.6172192568597,102.18811181132592,0.1021321653837406
F1_MO1_on_DV21,9,0.5600000023841858,0.5899999737739563,0.5699999928474426,340,22.04160507116478,0.8796760753821983,-263.33818034724436,307.4213904895739,145.60460685474249,0.8796760753821983
F1_MO1_on_DV21,10,0.6000000238418579,0.8700000047683716,0.6200000047683716,239,-534.1911061754994,0.29725927155289866,-1538.6681433301596,470.28593097916075,512.4977015281132,0.4246561022184267
F2_MO2_on_DV21,1,0.11999999731779099,0.3799999952316284,0.3199999928474426,357,-62.68930316501933,6.331209674897591e-07,-87.3576361934377,-38.020970136600965,12.586115470997951,6.3312096748975904e-06
F2_MO2_on_DV21,2,0.38999998569488525,0.4300000071525574,0.4099999964237213,282,-31.420211368350618,0.02331391620560318,-58.56997754116449,-4.270445195536748,13.852176053727396,0.07771305401867727
F2_MO2_on_DV21,3,0.4399999976158142,0.4699999988079071,0.46000000834465027,406,-21.744812242710307,0.23336537933387902,-57.507014373375455,14.017389887954838,18.246356776324888,0.34641190677613354
F2_MO2_on_DV21,4,0.47999998927116394,0.49000000953674316,0.47999998927116394,368,4.349548285842019,0.8076947557749667,-30.67478350292977,39.37388007461381,17.869885398425303,0.8974386175277408
F2_MO2_on_DV21,5,0.5,0.5,0.5,208,-59.247816183804595,0.27973557551381345,-166.67878238661646,48.183150019007265,54.8127246470923,0.3496694693922668
F2_MO2_on_DV21,6,0.5099999904632568,0.5199999809265137,0.5099999904632568,387,-77.4334655409911,0.004993751717387871,-131.49232002195134,-23.37461106003085,27.581555022117545,0.024968758586939352
F2_MO2_on_DV21,7,0.5299999713897705,0.5299999713897705,0.5299999713897705,204,-54.375430227365854,0.24248833474329345,-145.55853753269395,36.807677077962225,46.52284839138311,0.34641190677613354
F2_MO2_on_DV21,8,0.5400000214576721,0.550000011920929,0.5400000214576721,288,-106.19605086654624,0.0692513715807329,-220.7618528385357,8.369751105443214,58.45301386947408,0.17312842895183223
F2_MO2_on_DV21,9,0.5600000023841858,0.5899999737739563,0.5699999928474426,340,-64.82979770135645,0.21623956314100712,-167.58344436359027,37.923848960877365,52.426293275152744,0.34641190677613354
F2_MO2_on_DV21,10,0.6000000238418579,0.8700000047683716,0.6200000047683716,239,8.97054652004992,0.9417153901176918,-231.50247897472863,249.44357201482845,122.6925736348214,0.9417153901176918
F3_IV3xMO1_on_DV21,1,0.11999999731779099,0.3799999952316284,0.3199999928474426,357,-7.660239709046986,0.0047399926736453124,-12.976376854332212,-2.3441025637617603,2.7123647103815367,0.02369996336822656
F3_IV3xMO1_on_DV21,2,0.38999998569488525,0.4300000071525574,0.4099999964237213,282,1.219095819101623,0.7693869721904383,-6.930878630117286,9.369070268320533,4.158226637583582,0.7693869721904383
F3_IV3xMO1_on_DV21,3,0.4399999976158142,0.4699999988079071,0.46000000834465027,406,-2.1832775645720446,0.3530448627414874,-6.79095270307164,2.4243975739275507,2.350897860799662,0.5034562944037065
F3_IV3xMO1_on_DV21,4,0.47999998927116394,0.49000000953674316,0.47999998927116394,368,-2.5679225092457774,0.6734659473900183,-14.511642338987498,9.375797320495943,6.093846582872063,0.7482954971000203
F3_IV3xMO1_on_DV21,5,0.5,0.5,0.5,208,-7.659720744835234,0.31022829244326533,-22.45437808681649,7.134936597146023,7.54843326646797,0.5034562944037065
F3_IV3xMO1_on_DV21,6,0.5099999904632568,0.5199999809265137,0.5099999904632568,387,8.130126385028479,0.04758089204307738,0.08670880305394846,16.17354396700301,4.103859889987766,0.11895223010769344
F3_IV3xMO1_on_DV21,7,0.5299999713897705,0.5299999713897705,0.5299999713897705,204,-20.86161917765042,0.14343988023265036,-48.8077665273573,7.084528172056459,14.258500447019705,0.2868797604653007
F3_IV3xMO1_on_DV21,8,0.5400000214576721,0.550000011920929,0.5400000214576721,288,-10.328809098520068,0.4027650355229653,-34.52416952491397,13.86655132787384,12.344798484688406,0.5034562944037065
F3_IV3xMO1_on_DV21,9,0.5600000023841858,0.5899999737739563,0.5699999928474426,340,-44.939327813105166,0.017592125063775867,-82.03958833725287,-7.839067288957466,18.929052174830673,0.058640416879252893
F3_IV3xMO1_on_DV21,10,0.6000000238418579,0.8700000047683716,0.6200000047683716,239,-164.50634995762587,0.0004334932553995113,-256.13586952250233,-72.8768303927494,46.75061393354084,0.0043349325539951125
