rural_q,count,mean,std
"(0.069, 0.45]",810,-0.35044552600355855,0.42294821670089316
"(0.45, 0.5]",812,-0.2599343433350902,0.30018117009538064
"(0.5, 0.54]",740,-0.1564678122252713,0.21165839097699218
"(0.54, 0.87]",771,-0.09887708939002837,0.15766699253818528
