county_fips,y_observed,p_hat,residual,surprise_quantile,population,census_division
46119,0,0.022448746226455055,-0.022448746226455055,0.03859649122807018,1318.0,6
36041,0,0.10054355938802918,-0.10054355938802918,0.2631578947368421,5090.0,2
48045,0,0.01869819439707767,-0.01869819439707767,0.029027113237639554,1290.0,7
17155,0,0.05491975048172068,-0.05491975048172068,0.13748006379585326,5628.0,4
38011,0,0.12479456654815974,-0.12479456654815974,0.312280701754386,2975.0,6
10001,0,0.7539738871265984,-0.7539738871265984,0.94896331738437,182400.0,3
10003,1,0.9516578519745099,0.048342148025490084,0.11642743221690591,570567.0,3
10005,0,0.8171631352049399,-0.8171631352049399,0.969377990430622,240668.0,3
11001,1,0.9738113361557125,0.02618866384428753,0.048484848484848485,670587.0,3
12005,0,0.5098410251847368,-0.5098410251847368,0.7945773524720893,181055.0,3
12001,1,0.8766178184041535,0.12338218159584646,0.30972886762360446,279729.0,3
12003,0,0.18271104258519566,-0.18271104258519566,0.4207336523125997,27969.0,3
12007,0,0.1649318921907631,-0.1649318921907631,0.39074960127591707,27816.0,3
12009,1,0.7691408823738962,0.23085911762610378,0.49696969696969695,610723.0,3
12011,1,0.9460702211560392,0.053929778843960774,0.13301435406698564,1940907.0,3
12013,0,0.03713238432055153,-0.03713238432055153,0.08548644338118022,13753.0,3
12015,0,0.4875307932466495,-0.4875307932466495,0.7760765550239235,189900.0,3
12017,0,0.24105555309842971,-0.24105555309842971,0.5125996810207336,155173.0,3
30059,0,0.015774033544344188,-0.015774033544344188,0.02073365231259968,1948.0,8
12019,0,0.4608319424668472,-0.4608319424668472,0.7524720893141946,219650.0,3
12021,0,0.5831131451724071,-0.5831131451724071,0.8535885167464115,380221.0,3
12023,0,0.3292555635282575,-0.3292555635282575,0.6175438596491228,69832.0,3
12027,0,0.2252324439791882,-0.2252324439791882,0.4902711323763955,34258.0,3
12029,0,0.04526989867061474,-0.04526989867061474,0.10749601275917066,16737.0,3
12031,1,0.9033149943756474,0.09668500562435256,0.2529505582137161,995708.0,3
38013,0,0.0843980864036447,-0.0843980864036447,0.22232854864433813,2184.0,6
12033,0,0.7144644662803851,-0.7144644662803851,0.9298245614035088,321296.0,3
12035,0,0.27697580420325807,-0.27697580420325807,0.5566188197767146,117515.0,3
12037,0,0.24863475029957927,-0.24863475029957927,0.5208931419457735,12276.0,3
12039,0,0.16449535263411322,-0.16449535263411322,0.389792663476874,43746.0,3
12041,0,0.1487773567709863,-0.1487773567709863,0.36076555023923446,18070.0,3
12043,0,0.018620187275213446,-0.018620187275213446,0.028708133971291867,12179.0,3
12045,0,0.13282337664256952,-0.13282337664256952,0.3311004784688995,15002.0,3
12047,0,0.0482939183283485,-0.0482939183283485,0.11610845295055822,13492.0,3
12049,0,0.06958806170912617,-0.06958806170912617,0.18596491228070175,25528.0,3
12051,0,0.2140968245682567,-0.2140968245682567,0.47081339712918663,39902.0,3
16029,0,0.4610675409075699,-0.4610675409075699,0.7534290271132377,7058.0,8
12053,0,0.4062321787675901,-0.4062321787675901,0.6963317384370016,196621.0,3
12055,0,0.26057317211567854,-0.26057317211567854,0.5384370015948964,102339.0,3
12057,1,0.9684387693028881,0.03156123069711192,0.06730462519936205,1468560.0,3
12059,0,0.09203645695807666,-0.09203645695807666,0.24242424242424243,19529.0,3
12061,0,0.34596105149006345,-0.34596105149006345,0.6376395534290271,160986.0,3
12063,0,0.2362245240222922,-0.2362245240222922,0.5055821371610846,47704.0,3
17005,0,0.24664258240420853,-0.24664258240420853,0.518341307814992,16750.0,4
12065,0,0.041327981897950304,-0.041327981897950304,0.09696969696969697,14458.0,3
12067,0,0.046598807800198275,-0.046598807800198275,0.11036682615629984,8107.0,3
12069,0,0.6167270330560283,-0.6167270330560283,0.8768740031897927,386829.0,3
12077,0,0.07542943388832744,-0.07542943388832744,0.19904306220095694,7704.0,3
12071,0,0.7527635477365029,-0.7527635477365029,0.948006379585327,772902.0,3
12073,0,0.6745085270356139,-0.6745085270356139,0.9100478468899521,294128.0,3
12075,0,0.11350740758122077,-0.11350740758122077,0.28931419457735247,43268.0,3
12079,0,0.09434827824086865,-0.09434827824086865,0.24848484848484848,17986.0,3
12081,0,0.6008652699387486,-0.6008652699387486,0.8634768740031898,405069.0,3
12083,0,0.6639766849335382,-0.6639766849335382,0.9039872408293461,378225.0,3
12085,0,0.46475552932818387,-0.46475552932818387,0.7547049441786284,159399.0,3
12086,1,0.927217123054806,0.07278287694519403,0.19298245614035087,2688237.0,3
12087,1,0.15985719891951958,0.8401428010804805,0.9754385964912281,82044.0,3
12089,1,0.32313158005122256,0.6768684199487774,0.9119617224880383,91538.0,3
12091,0,0.5430360193364787,-0.5430360193364787,0.8232854864433812,212021.0,3
12093,0,0.10844391982737694,-0.10844391982737694,0.27751196172248804,39870.0,3
12095,1,0.9657998578783251,0.03420014212167488,0.07623604465709728,1427403.0,3
12097,0,0.47568286822436096,-0.47568286822436096,0.7649122807017544,393745.0,3
12099,1,0.9276000285269774,0.07239997147302257,0.19074960127591706,1494805.0,3
12101,0,0.6573425537288511,-0.6573425537288511,0.9014354066985646,569211.0,3
12103,1,0.9040047212810337,0.09599527871896629,0.25199362041467305,959918.0,3
12105,0,0.8493920066839127,-0.8493920066839127,0.9770334928229665,736229.0,3
12107,0,0.2050050618012949,-0.2050050618012949,0.45773524720893144,73604.0,3
12109,0,0.5891830101633275,-0.5891830101633275,0.857097288676236,278722.0,3
12111,0,0.5137326941306157,-0.5137326941306157,0.7977671451355662,334682.0,3
