rural_q,count,mean,std
"(0.069, 0.45]",810,-0.3082055641445599,0.4518646520434532
"(0.45, 0.5]",812,-0.261703405955798,0.3278757619912849
"(0.5, 0.54]",740,-0.14114814445495008,0.23803939854306
"(0.54, 0.87]",771,-0.08688986251831807,0.15607078590770504
