rural_q,count,mean,std
"(0.069, 0.45]",810,-0.38090236285222395,0.415503844039332
"(0.45, 0.5]",812,-0.2781716734681769,0.29307357625262476
"(0.5, 0.54]",740,-0.15972260318404158,0.22242052675925522
"(0.54, 0.87]",771,-0.09914341111740421,0.1590958676996577
