county_fips,ai_intensity_sum,lisa_pvalue,moran_i,cluster_code,cluster_type
40123,0.0,0.219,0.06961036934581397,0,Not Significant
40037,0.0,0.202,-0.036477198446409405,0,Not Significant
48457,0.0,0.475,0.03424784674840618,0,Not Significant
47175,0.0,0.444,0.041320351267887745,0,Not Significant
40125,0.0,0.275,-0.011218253733975267,0,Not Significant
35053,0.0,0.325,0.06961036934581397,0,Not Significant
13003,0.0,0.388,0.06961036934581397,0,Not Significant
12031,13.0,0.204,0.22946399478001134,0,Not Significant
48145,0.0,0.446,0.041320351267887745,0,Not Significant
05149,0.0,0.413,0.019092479920945694,0,Not Significant
20033,0.0,0.389,0.06961036934581397,0,Not Significant
21113,0.0,0.389,0.05546536030685086,0,Not Significant
21171,0.0,0.326,0.06961036934581397,0,Not Significant
40075,0.0,0.265,0.059506791460840314,0,Not Significant
46079,0.0,0.326,0.06961036934581397,0,Not Significant
37033,0.0,0.225,-0.031425409503922565,0,Not Significant
48377,0.0,0.429,0.06961036934581397,0,Not Significant
39057,6.0,0.156,0.30603079003135936,0,Not Significant
48489,0.0,0.3,-0.0011146758490016046,0,Not Significant
35028,0.0,0.43,0.04603535428087545,0,Not Significant
01003,0.0,0.325,0.06961036934581397,0,Not Significant
19007,0.0,0.001,0.06961036934581397,3,LH
51127,0.0,0.462,0.04603535428087544,0,Not Significant
13263,0.0,0.389,0.04940321357586665,0,Not Significant
36049,0.0,0.388,0.06961036934581397,0,Not Significant
54015,0.0,0.332,-0.001114675849001612,0,Not Significant
18077,0.0,0.001,0.06961036934581397,3,LH
51019,0.0,0.495,0.025407216099054237,0,Not Significant
35033,0.0,0.359,0.05782286181334471,0,Not Significant
31011,0.0,0.325,0.06961036934581397,0,Not Significant
29149,0.0,0.001,0.06961036934581397,3,LH
47083,0.0,0.388,0.06961036934581397,0,Not Significant
42131,0.0,0.122,-0.0718397210438172,0,Not Significant
37107,0.0,0.325,0.06961036934581397,0,Not Significant
18167,0.0,0.468,0.03424784674840618,0,Not Significant
18039,2.0,0.498,-0.030131094951337686,0,Not Significant
51077,0.0,0.001,0.06961036934581397,3,LH
48303,10.0,0.376,-0.07077075589994124,0,Not Significant
27093,0.0,0.383,0.01303033318996151,0,Not Significant
39005,4.0,0.087,0.3439522253283928,0,Not Significant
31119,0.0,0.326,0.06961036934581397,0,Not Significant
12085,2.0,0.098,0.1179345276769645,0,Not Significant
08079,0.0,0.47,0.06961036934581397,0,Not Significant
13085,0.0,0.001,0.06961036934581397,3,LH
13167,0.0,0.325,0.06961036934581397,0,Not Significant
05095,0.0,0.325,0.06961036934581397,0,Not Significant
29059,0.0,0.086,-0.10720224364122498,0,Not Significant
51143,0.0,0.237,-0.018795937147705503,0,Not Significant
20145,0.0,0.376,0.04603535428087545,0,Not Significant
20209,5.0,0.01,2.3707629672824906,1,HH
12029,0.0,0.469,0.06961036934581397,0,Not Significant
26157,0.0,0.462,0.02246033921593692,0,Not Significant
20065,0.0,0.325,0.06961036934581397,0,Not Significant
