Method,ATE_estimate,Std_Error,N
Naive (Unadjusted),-889.1068968131456,61.80513853994415,3143
"IPTW (Full, Unclustered)",-406.07018671418126,135.25950776182125,3143
AIPW (Doubly Robust),-327.9863164212553,178.49367439317462,3143
Matching (1:1 NN OLS),-274.6085746051252,79.22615098932411,1154
