Method,ATE_estimate,Std_Error,N
Naive (Unadjusted),-813.4665248836299,60.71450409386738,3143
"IPTW (Full, Unclustered)",-212.26518454231748,89.999378872165,3143
AIPW (Doubly Robust),-107.8371349189694,46.06702396807486,3143
Matching (1:1 NN OLS),-308.0207213724066,70.3617560894767,1602
