rural_q,count,mean,std
"(0.069, 0.45]",810,-0.31446369272671826,0.4520780129101154
"(0.45, 0.5]",812,-0.2652537149250729,0.3280624857281772
"(0.5, 0.54]",740,-0.1432739268775621,0.23800429127427603
"(0.54, 0.87]",771,-0.08684471297713339,0.15689873381248765
