model,n_ai_vars,variables,beta,p_value,ci_low,ci_high,n_obs,fit_error
Single: MO11,1,MO11,-0.5551936932398562,0.5226239205456185,-2.257288986626063,1.1469016001463506,3065,0
Single: MO12,1,MO12,-0.1535072028978699,0.8425871694786207,-1.668567078986063,1.3615526731903231,3065,0
Single: MO13,1,MO13,-0.5720983808376339,0.5554550174561176,-2.473864575158061,1.3296678134827933,3065,0
Single: MO14,1,MO14,-1.8097812006379375,0.005448762477173724,-3.0860712713193683,-0.5334911299565066,3065,0
Single: MO15,1,MO15,-1.043853715475538,0.09585679893184301,-2.272424900564096,0.18471746961302005,3065,0
Stacked: All AI (sum),5,ai_sum_standardized,-5.589148625127359,0.22385183063811032,-14.595220019079033,3.416922768824314,3065,0
Stacked: AI count,5,ai_count,-2.415934826986934,0.8632140659083966,-29.90042775311762,25.06855809914375,3065,0
Combined: All AI (multivariate),5,"MO11, MO12, MO13, MO14, MO15",-0.46658602358840806,0.7186619107189305,-3.0050944338001297,2.0719223866233136,3065,0
