rural_q,count,mean,std
"(0.069, 0.45]",810,-0.14994274370692698,0.3932924164022435
"(0.45, 0.5]",812,-0.17170376208679136,0.36830326992023943
"(0.5, 0.54]",740,-0.0920260970440908,0.25634130429230895
"(0.54, 0.87]",771,-0.06380940194600351,0.1654769955408207
