county_fips,y_observed,p_hat,residual,surprise_quantile,population,census_division
46119,0,0.021067072382205818,-0.021067072382205818,0.0354066985645933,1318.0,6
36041,0,0.09604226383112846,-0.09604226383112846,0.24274322169059012,5090.0,2
48045,0,0.018711966506676284,-0.018711966506676284,0.027751196172248804,1290.0,7
17155,0,0.052698351518402534,-0.052698351518402534,0.12089314194577352,5628.0,4
38011,0,0.1311625034228041,-0.1311625034228041,0.3215311004784689,2975.0,6
10001,0,0.7319071817305406,-0.7319071817305406,0.9374800637958532,182400.0,3
10003,1,0.9508472870517221,0.04915271294827794,0.11196172248803828,570567.0,3
10005,0,0.8014434445626579,-0.8014434445626579,0.9645933014354067,240668.0,3
11001,1,0.9761266590912184,0.02387334090878157,0.0405103668261563,670587.0,3
12005,0,0.5202256902750131,-0.5202256902750131,0.8066985645933015,181055.0,3
12001,1,0.8773112269479646,0.1226887730520354,0.3033492822966507,279729.0,3
12003,0,0.20666823929871903,-0.20666823929871903,0.4631578947368421,27969.0,3
12007,0,0.18809125797347753,-0.18809125797347753,0.4331738437001595,27816.0,3
12009,1,0.794910013923601,0.20508998607639894,0.45964912280701753,610723.0,3
12011,1,0.9563140866617457,0.043685913338254334,0.09537480063795853,1940907.0,3
12013,0,0.04153422373407218,-0.04153422373407218,0.09186602870813397,13753.0,3
12015,0,0.5200082396286221,-0.5200082396286221,0.8063795853269538,189900.0,3
12017,0,0.27051028433016516,-0.27051028433016516,0.5492822966507177,155173.0,3
30059,0,0.02104313837835736,-0.02104313837835736,0.03508771929824561,1948.0,8
12019,0,0.4942513686126083,-0.4942513686126083,0.783732057416268,219650.0,3
12021,0,0.6140856355971072,-0.6140856355971072,0.8724082934609251,380221.0,3
12023,0,0.3322463912528238,-0.3322463912528238,0.6261562998405104,69832.0,3
12027,0,0.2524301502644209,-0.2524301502644209,0.528548644338118,34258.0,3
12029,0,0.05166041844216412,-0.05166041844216412,0.11866028708133972,16737.0,3
12031,1,0.9083048701112578,0.09169512988874218,0.23189792663476874,995708.0,3
38013,0,0.08781480267795677,-0.08781480267795677,0.22328548644338117,2184.0,6
12033,0,0.7369779435780289,-0.7369779435780289,0.9403508771929825,321296.0,3
12035,0,0.3011234976301572,-0.3011234976301572,0.5888357256778309,117515.0,3
12037,0,0.2706680584475412,-0.2706680584475412,0.5496012759170654,12276.0,3
12039,0,0.1817224752236575,-0.1817224752236575,0.4223285486443381,43746.0,3
12041,0,0.16006765341846288,-0.16006765341846288,0.3827751196172249,18070.0,3
12043,0,0.022692548659576536,-0.022692548659576536,0.03827751196172249,12179.0,3
12045,0,0.1469162241058743,-0.1469162241058743,0.3559808612440191,15002.0,3
12047,0,0.06480253691538569,-0.06480253691538569,0.16140350877192983,13492.0,3
12049,0,0.0737561583175494,-0.0737561583175494,0.18692185007974482,25528.0,3
12051,0,0.21769719290644712,-0.21769719290644712,0.47719298245614034,39902.0,3
16029,0,0.3664117296033947,-0.3664117296033947,0.6599681020733652,7058.0,8
12053,0,0.4532376971463299,-0.4532376971463299,0.7457735247208931,196621.0,3
12055,0,0.2971143332087636,-0.2971143332087636,0.5840510366826156,102339.0,3
12057,1,0.9694065676108852,0.030593432389114827,0.06092503987240829,1468560.0,3
12059,0,0.09926432010113644,-0.09926432010113644,0.2503987240829346,19529.0,3
12061,0,0.37982236337191844,-0.37982236337191844,0.6733652312599681,160986.0,3
12063,0,0.2569711906703031,-0.2569711906703031,0.5355661881977671,47704.0,3
17005,0,0.22959452975957675,-0.22959452975957675,0.49728867623604467,16750.0,4
12065,0,0.04630426431283257,-0.04630426431283257,0.10143540669856459,14458.0,3
12067,0,0.0518508145949427,-0.0518508145949427,0.11929824561403508,8107.0,3
12069,0,0.6460530352969784,-0.6460530352969784,0.8937799043062201,386829.0,3
12077,0,0.08126359013654776,-0.08126359013654776,0.20893141945773525,7704.0,3
12071,0,0.7821754685177656,-0.7821754685177656,0.960127591706539,772902.0,3
12073,0,0.663586729430992,-0.663586729430992,0.9036682615629984,294128.0,3
12075,0,0.12709143960417882,-0.12709143960417882,0.31323763955342904,43268.0,3
12079,0,0.09715695126935732,-0.09715695126935732,0.24657097288676236,17986.0,3
12081,0,0.6302564512206875,-0.6302564512206875,0.8861244019138756,405069.0,3
12083,0,0.6834158246725994,-0.6834158246725994,0.9154704944178629,378225.0,3
12085,0,0.49173765946622894,-0.49173765946622894,0.7811802232854864,159399.0,3
12086,1,0.9360631558280542,0.06393684417194578,0.15853269537480064,2688237.0,3
12087,1,0.16691528677160117,0.8330847132283988,0.9741626794258373,82044.0,3
12089,1,0.3358683226767839,0.6641316773232161,0.9039872408293461,91538.0,3
12091,0,0.559680285493331,-0.559680285493331,0.8360446570972887,212021.0,3
12093,0,0.1239295312722485,-0.1239295312722485,0.3055821371610845,39870.0,3
12095,1,0.9674012331004591,0.03259876689954089,0.06634768740031897,1427403.0,3
12097,0,0.5105211229591178,-0.5105211229591178,0.7980861244019138,393745.0,3
12099,1,0.9411085815483412,0.058891418451658795,0.14258373205741626,1494805.0,3
12101,0,0.7000349339836329,-0.7000349339836329,0.9224880382775119,569211.0,3
12103,1,0.921276219560246,0.07872378043975403,0.20095693779904306,959918.0,3
12105,0,0.8629261352231765,-0.8629261352231765,0.9818181818181818,736229.0,3
12107,0,0.23054034933078324,-0.23054034933078324,0.4988835725677831,73604.0,3
12109,0,0.6137544507833366,-0.6137544507833366,0.8720893141945774,278722.0,3
12111,0,0.5377121463965495,-0.5377121463965495,0.8185007974481658,334682.0,3
